# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
35100 100
94 7.48 1.05776 82.521
95 7.56 1.07206 85.1885
96 7.64 1.07315 87.9155
97 7.72 1.07665 90.709
98 7.8 1.06223 93.5225
99 7.88 1.10329 96.505
100 7.96 1.12219 99.6005
35400 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0.00388149 0.0005
23 1.8 0.00354419 0.001
24 1.88 0.0194941 0.004
25 1.96 0.0298925 0.009
26 2.04 0.0662261 0.021
27 2.12 0.125201 0.0455
28 2.2 0.204051 0.0885
29 2.28 0.25184 0.1455
30 2.36 0.369081 0.235
31 2.44 0.549744 0.3775
32 2.52 0.748681 0.5845
33 2.6 2.10996 1.2055
34 2.68 2.50874 1.99
35 2.76 3.68457 3.212
36 2.84 3.37741 4.398
37 2.92 2.55106 5.345
38 3 1.91151 6.094
39 3.08 1.66824 6.783
40 3.16 1.43303 7.406
41 3.24 1.315 8.007
42 3.32 1.10861 8.539
43 3.4 1.01732 9.051
44 3.48 0.872457 9.511
45 3.56 0.925213 10.0215
46 3.64 0.901461 10.5415
47 3.72 0.829911 11.0415
48 3.8 0.774658 11.5285
49 3.88 0.834589 12.0755
50 3.96 0.852475 12.6575
51 4.04 0.873934 13.2785
52 4.12 0.838972 13.8985
53 4.2 0.868517 14.5655
54 4.28 0.890271 15.2755
55 4.36 0.905025 16.0245
56 4.44 0.953685 16.843
57 4.52 0.977002 17.712
58 4.6 1.03667 18.667
59 4.68 1.09382 19.71
60 4.76 1.10704 20.802
61 4.84 1.10801 21.932
62 4.92 1.17807 23.1735
63 5 1.16456 24.441
64 5.08 1.18336 25.7705
65 5.16 1.24314 27.2115
66 5.24 1.25943 28.717
67 5.32 1.23766 30.242
68 5.4 1.2245 31.7965
69 5.48 1.27697 33.466
70 5.56 1.21746 35.1045
71 5.64 1.19472 36.759
72 5.72 1.15908 38.41
73 5.8 1.12698 40.0605
74 5.88 1.10749 41.7275
75 5.96 1.10414 43.435
76 6.04 1.08485 45.158
77 6.12 1.07476 46.9105
78 6.2 1.03137 48.6365
79 6.28 1.03147 50.4075
80 6.36 1.03209 52.225
81 6.44 1.06227 54.143
82 6.52 1.00367 56.0005
83 6.6 1.0019 57.9005
84 6.68 1.00147 59.846
85 6.76 1.01812 61.8715
86 6.84 1.02586 63.961
87 6.92 1.02387 66.0955
88 7 0.997785 68.224
89 7.08 1.01042 70.429
90 7.16 1.03949 72.749
91 7.24 1.00701 75.047
92 7.32 1.03227 77.455
93 7.4 1.04489 79.946
94 7.48 1.04462 82.4905
95 7.56 1.06805 85.148
96 7.64 1.05839 87.8375
97 7.72 1.05988 90.5875
98 7.8 1.08375 93.458
99 7.88 1.11253 96.4655
100 7.96 1.08539 99.4595
35500 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0.0162451 0.0025
25 1.96 0.0209247 0.006
26 2.04 0.0689855 0.0185
27 2.12 0.189079 0.0555
28 2.2 0.30845 0.1205
29 2.28 0.362296 0.2025
30 2.36 0.573209 0.3415
31 2.44 0.66355 0.5135
32 2.52 1.06696 0.8085
33 2.6 2.09297 1.4245
34 2.68 2.4112 2.1785
35 2.76 3.19761 3.239
36 2.84 3.07555 4.319
37 2.92 2.4689 5.2355
38 3 1.91534 5.986
39 3.08 1.72513 6.6985
40 3.16 1.39277 7.304
41 3.24 1.38064 7.935
42 3.32 1.18675 8.5045
43 3.4 1.0044 9.01
44 3.48 1.00333 9.539
45 3.56 0.899839 10.0355
46 3.64 0.897127 10.553
47 3.72 0.821612 11.048
48 3.8 0.822378 11.565
49 3.88 0.852135 12.1235
50 3.96 0.864926 12.714
51 4.04 0.84227 13.3125
52 4.12 0.849121 13.94
53 4.2 0.882189 14.6175
54 4.28 0.915349 15.3475
55 4.36 0.938858 16.1245
56 4.44 0.951355 16.941
57 4.52 0.958452 17.7935
58 4.6 1.0231 18.736
59 4.68 1.09225 19.7775
60 4.76 1.10552 20.868
61 4.84 1.1433 22.034
62 4.92 1.16336 23.26
63 5 1.15492 24.517
64 5.08 1.18158 25.8445
65 5.16 1.22761 27.2675
66 5.24 1.27658 28.7935
67 5.32 1.23442 30.3145
68 5.4 1.25955 31.9135
69 5.48 1.22649 33.517
70 5.56 1.19479 35.125
71 5.64 1.18714 36.769
72 5.72 1.17663 38.445
73 5.8 1.12254 40.089
74 5.88 1.10284 41.749
75 5.96 1.10576 43.459
76 6.04 1.10153 45.2085
77 6.12 1.06648 46.9475
78 6.2 1.03346 48.677
79 6.28 1.05331 50.4855
80 6.36 1.04771 52.3305
81 6.44 1.06726 54.2575
82 6.52 1.02448 56.1535
83 6.6 0.991881 58.0345
84 6.68 0.999409 59.976
85 6.76 1.00907 61.9835
86 6.84 1.01334 64.0475
87 6.92 1.0006 66.1335
88 7 1.01466 68.298
89 7.08 1.01958 70.523
90 7.16 1.03815 72.84
91 7.24 1.05937 75.2575
92 7.32 1.03442 77.6705
93 7.4 1.04321 80.1575
94 7.48 1.06125 82.7425
95 7.56 1.07106 85.4075
96 7.64 1.0458 88.065
97 7.72 1.0543 90.8005
98 7.8 1.0964 93.7045
99 7.88 1.08072 96.626
100 7.96 1.10587 99.6765
35600 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0.00388149 0.0005
23 1.8 0.017721 0.003
24 1.88 0.0162451 0.0055
25 1.96 0.0358709 0.0115
26 2.04 0.0827826 0.0265
27 2.12 0.181413 0.062
28 2.2 0.263368 0.1175
29 2.28 0.419733 0.2125
30 2.36 0.583519 0.354
31 2.44 0.842941 0.5725
32 2.52 1.24961 0.918
33 2.6 2.24927 1.58
34 2.68 2.55351 2.3785
35 2.76 2.86594 3.329
36 2.84 2.84203 4.327
37 2.92 2.36249 5.204
38 3 2.00084 5.988
39 3.08 1.71303 6.6955
40 3.16 1.45258 7.327
41 3.24 1.29969 7.921
42 3.32 1.08673 8.4425
43 3.4 1.02626 8.959
44 3.48 1.00617 9.4895
45 3.56 0.966897 10.023
46 3.64 0.906662 10.546
47 3.72 0.872236 11.0715
48 3.8 0.831922 11.5945
49 3.88 0.881124 12.172
50 3.96 0.831969 12.74
51 4.04 0.837344 13.335
52 4.12 0.874155 13.981
53 4.2 0.911487 14.681
54 4.28 0.936665 15.428
55 4.36 0.914088 16.1845
56 4.44 0.944364 16.995
57 4.52 0.975878 17.863
58 4.6 1.02147 18.804
59 4.68 1.10064 19.8535
60 4.76 1.12934 20.9675
61 4.84 1.12615 22.116
62 4.92 1.14391 23.3215
63 5 1.19259 24.6195
64 5.08 1.23009 26.0015
65 5.16 1.23883 27.4375
66 5.24 1.27072 28.9565
67 5.32 1.24213 30.487
68 5.4 1.20481 32.0165
69 5.48 1.20316 33.5895
70 5.56 1.18625 35.186
71 5.64 1.19544 36.8415
72 5.72 1.16926 38.507
73 5.8 1.14269 40.1805
74 5.88 1.10383 41.842
75 5.96 1.07602 43.506
76 6.04 1.07068 45.2065
77 6.12 1.0625 46.939
78 6.2 1.05378 48.7025
79 6.28 1.07603 50.55
80 6.36 1.03805 52.378
81 6.44 1.07086 54.3115
82 6.52 1.03555 56.228
83 6.6 1.00032 58.125
84 6.68 1.02618 60.1185
85 6.76 1.02113 62.15
86 6.84 0.999842 64.1865
87 6.92 1.00492 66.2815
88 7 1.01841 68.454
89 7.08 1.03333 70.709
90 7.16 1.02515 72.997
91 7.24 1.04141 75.3735
92 7.32 1.05478 77.834
93 7.4 1.03944 80.312
94 7.48 1.06618 82.909
95 7.56 1.07227 85.577
96 7.64 1.11781 88.4175
97 7.72 1.07357 91.203
98 7.8 1.07903 94.061
99 7.88 1.07258 96.9605
100 7.96 1.095 99.981
35700 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0.00426934 0.0005
22 1.72 0.00388149 0.001
23 1.8 0.00708839 0.002
24 1.88 0.00974707 0.0035
25 1.96 0.0209247 0.007
26 2.04 0.0800232 0.0215
27 2.12 0.160972 0.053
28 2.2 0.272859 0.1105
29 2.28 0.311486 0.181
30 2.36 0.433 0.286
31 2.44 0.594109 0.44
32 2.52 0.998241 0.716
33 2.6 2.35629 1.4095
34 2.68 2.64625 2.237
35 2.76 3.22777 3.3075
36 2.84 3.06558 4.384
37 2.92 2.42311 5.2835
38 3 2.0136 6.0725
39 3.08 1.67671 6.765
40 3.16 1.45373 7.397
41 3.24 1.32375 8.002
42 3.32 1.12632 8.5425
43 3.4 0.991486 9.0415
44 3.48 0.918925 9.526
45 3.56 0.937899 10.0435
46 3.64 0.86679 10.5435
47 3.72 0.844019 11.052
48 3.8 0.835103 11.577
49 3.88 0.820094 12.1145
50 3.96 0.821716 12.6755
51 4.04 0.847899 13.278
52 4.12 0.871449 13.922
53 4.2 0.860053 14.5825
54 4.28 0.884001 15.2875
55 4.36 0.979336 16.098
56 4.44 0.983979 16.9425
57 4.52 1.0068 17.838
58 4.6 1.00845 18.767
59 4.68 1.05397 19.772
60 4.76 1.11819 20.875
61 4.84 1.16586 22.064
62 4.92 1.14913 23.275
