# Time-averaged data for fix 5
# TimeStep c_msd[4]
41540 152.263
41550 152.269
41560 152.281
41570 152.291
41580 152.309
41590 152.329
41600 152.347
41610 152.35
41620 152.332
41630 152.303
41640 152.295
41650 152.297
41660 152.296
41670 152.323
41680 152.349
41690 152.378
41700 152.404
41710 152.418
41720 152.396
41730 152.383
41740 152.389
41750 152.406
41760 152.42
41770 152.429
41780 152.437
41790 152.43
41800 152.432
41810 152.462
41820 152.502
41830 152.528
41840 152.533
41850 152.533
41860 152.522
41870 152.519
41880 152.508
41890 152.496
41900 152.488
41910 152.487
41920 152.482
41930 152.484
41940 152.481
41950 152.513
41960 152.548
41970 152.57
41980 152.582
41990 152.584
42000 152.584
42010 152.588
42020 152.6
42030 152.606
42040 152.597
42050 152.574
42060 152.571
42070 152.584
42080 152.592
42090 152.589
42100 152.594
42110 152.592
42120 152.599
42130 152.608
42140 152.616
42150 152.622
42160 152.609
42170 152.587
42180 152.563
42190 152.543
42200 152.518
42210 152.498
42220 152.514
42230 152.547
42240 152.571
42250 152.568
42260 152.556
42270 152.559
42280 152.561
42290 152.594
42300 152.617
42310 152.644
42320 152.656
42330 152.662
42340 152.671
42350 152.667
42360 152.666
42370 152.665
42380 152.66
42390 152.67
42400 152.679
42410 152.687
42420 152.68
42430 152.668
42440 152.668
42450 152.656
42460 152.656
42470 152.646
42480 152.648
42490 152.648
42500 152.636
42510 152.635
42520 152.62
42530 152.619
42540 152.647
42550 152.669
42560 152.678
42570 152.681
42580 152.69
42590 152.717
42600 152.736
42610 152.767
42620 152.806
42630 152.842
42640 152.851
42650 152.832
42660 152.82
42670 152.835
42680 152.836
42690 152.84
42700 152.847
42710 152.852
42720 152.868
42730 152.895
42740 152.913
42750 152.921
42760 152.92
42770 152.908
42780 152.896
42790 152.876
42800 152.852
42810 152.839
42820 152.833
42830 152.832
42840 152.842
42850 152.849
42860 152.859
42870 152.877
42880 152.889
42890 152.88
42900 152.85
42910 152.841
42920 152.84
42930 152.848
42940 152.866
42950 152.881
42960 152.896
42970 152.91
42980 152.909
42990 152.903
43000 152.894
43010 152.896
43020 152.907
43030 152.904
43040 152.917
43050 152.932
43060 152.923
43070 152.934
43080 152.955
43090 152.956
43100 152.949
43110 152.954
43120 152.97
43130 152.996
43140 153.024
43150 153.046
43160 153.055
43170 153.054
43180 153.055
43190 153.057
43200 153.052
43210 153.046
43220 153.057
43230 153.068
43240 153.066
43250 153.044
43260 153.037
43270 153.046
43280 153.066
43290 153.085
43300 153.091
43310 153.074
43320 153.06
43330 153.054
43340 153.062
43350 153.074
43360 153.079
43370 153.09
43380 153.085
43390 153.059
43400 153.038
43410 153.018
43420 153.011
43430 153.02
43440 153.036
43450 153.065
43460 153.082
43470 153.085
43480 153.092
43490 153.107
43500 153.132
43510 153.174
43520 153.2
43530 153.208
43540 153.199
43550 153.195
43560 153.195
43570 153.195
43580 153.2
43590 153.199
43600 153.191
43610 153.176
43620 153.185
43630 153.199
43640 153.191
43650 153.182
43660 153.186
43670 153.198
43680 153.203
43690 153.214
43700 153.221
43710 153.22
43720 153.226
43730 153.21
43740 153.197
43750 153.202
43760 153.192
43770 153.21
43780 153.246
43790 153.291
43800 153.323
43810 153.329
43820 153.346
43830 153.349
43840 153.339
43850 153.333
43860 153.357
43870 153.37
43880 153.393
43890 153.411
43900 153.411
43910 153.411
43920 153.425
43930 153.462
43940 153.487
43950 153.504
43960 153.515
43970 153.526
43980 153.54
43990 153.515
44000 153.497
44010 153.505
44020 153.526
44030 153.549
44040 153.55
44050 153.558
44060 153.569
44070 153.575
44080 153.576
44090 153.57
44100 153.572
44110 153.579
44120 153.598
44130 153.622
44140 153.637
44150 153.628
44160 153.63
44170 153.613
44180 153.586
44190 153.574
44200 153.568
44210 153.573
44220 153.576
44230 153.575
44240 153.578
44250 153.579
44260 153.592
44270 153.614
44280 153.64
44290 153.669
44300 153.703
44310 153.731
44320 153.746
44330 153.752
44340 153.749
44350 153.741
44360 153.714
44370 153.69
44380 153.668
44390 153.688
44400 153.738
44410 153.762
44420 153.783
44430 153.803
44440 153.788
44450 153.781
44460 153.781
44470 153.766
44480 153.747
44490 153.755
44500 153.782
44510 153.808
44520 153.812
44530 153.825
44540 153.836
44550 153.838
44560 153.836
44570 153.853
44580 153.855
44590 153.85
44600 153.859
44610 153.87
44620 153.873
44630 153.866
44640 153.854
44650 153.847
44660 153.851
44670 153.856
44680 153.862
44690 153.878
44700 153.896
44710 153.904
44720 153.918
44730 153.923
44740 153.918
44750 153.918
44760 153.926
44770 153.926
44780 153.922
44790 153.89
44800 153.894
44810 153.927
44820 153.944
44830 153.955
44840 153.956
44850 153.941
44860 153.93
44870 153.917
44880 153.919
44890 153.915
44900 153.906
44910 153.918
44920 153.954
44930 153.99
44940 154.012
44950 154.034
44960 154.059
44970 154.06
44980 154.068
44990 154.087
45000 154.099
45010 154.116
45020 154.125
45030 154.144
45040 154.17
45050 154.175
45060 154.174
45070 154.162
